model,variant,n_predictions,n_api_calls,total_cost_usd,cost_per_1k_usd,avg_tokens_in,avg_tokens_out,median_latency_s,est_co2_g_per_1k,deployable_on_prem,macro_f1
GPT-5.4-mini,zero_shot,1041,1041,0.196838,0.1891,176.6,12.6,1.004,22.702,No (cloud API),0.5876045841821487
GPT-5.4-mini,few_shot,1041,1041,0.660535,0.6345,770.6,12.6,1.003,93.98,No (cloud API),0.5311273256598927
GPT-5.4-mini,chain_of_thought,1041,1210,1.602191,1.5391,784.5,163.5,3.442,113.763,No (cloud API),0.6046852805095527
Gemini 3 Flash,zero_shot,1041,1041,0.238498,0.2291,152.4,38.5,3.84,22.91,No (cloud API),0.5513477497901803
Gemini 3 Flash,few_shot,1041,1041,1.01986,0.9797,779.4,37.0,4.019,97.969,No (cloud API),0.5677747676683046
Gemini 3 Flash,chain_of_thought,1041,1041,1.056792,1.0152,794.4,51.6,5.727,101.517,No (cloud API),0.5539821480767739
MentalBERT,"local_inference (cuda, batch=16)",200,,0.0,0.0,,,0.00167,0.06,Yes (local hardware),0.6774789809413859
RoBERTa,"local_inference (cuda, batch=16)",200,,0.0,0.0,,,0.00162,0.058,Yes (local hardware),0.6788302483135225
